Permutation #,ApacheHVAC File (ASP),Roof Area (m2),External Wall Area (m2),Window Area (m2),Floor Area (m2),Weather File,HDD (Base 18C),CDD (Base 18C),Annual Mean Humidity Ratio (kg/kg),Average Relative Humidity (%),External Wall Construction U Values (W/m2.K),External Window Construction U Values (W/m2.K),Roof Construction U Values (W/m2.K),Actual Infiltration Rate @ 5Pa (L/(s/m2.facade)),EUI (Total) (kWh/m²),EUI (Electricity) (kWh/m²),EUI (Gas) (kWh/m²),Interior lighting (kWh/m²),Space heating (gas) (kWh/m²),Space heating (elec) (kWh/m²),Space cooling (kWh/m²),Pumps (kWh/m²),Fans interior (kWh/m²),Heat Rejection (kWh/m²),DHW heating (gas) (kWh/m²),DHW heating (elec) (kWh/m²),Receptacle equipment (kWh/m²),Elevators escalators (kWh/m²),TEDI
6018,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Muskoka.716300_CWEC.epw,4888,211,0.0054,76.90,0.2687,1.8792,0.1183,0.65,424.85,150.88,273.97,12.2,273.97,26.79,0.73,0,49.93,0.05,0,41.78,14.49,4.91,265.15
6019,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_North.Bay.717310_CWEC.epw,5392,155,0.0050,73.10,0.2687,1.8792,0.1183,0.65,463.02,154.47,308.55,12.2,308.55,30.09,0.03,0,50.97,0,0,41.78,14.49,4.91,298.53
6020,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Ottawa.716280_CWEC.epw,4747,271,0.0051,68.00,0.2687,1.8792,0.1183,0.65,406.95,148.99,257.96,12.2,257.96,25.87,1.81,0,48.52,0.12,0,41.08,14.49,4.91,250.29
6021,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,5080,164,0.0051,75.10,0.2687,1.8792,0.1183,0.65,426.96,149.86,277.09,12.2,277.09,26.73,0.76,0,48.95,0.05,0,41.78,14.49,4.91,267.8
6022,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Simcoe.715270_CWEC.epw,4160,284,0.0058,75.10,0.2687,1.8792,0.1183,0.65,378.27,142.04,236.23,12.21,236.23,24.19,1.04,0,43.84,0.07,0,41.29,14.49,4.91,229.71
6023,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sable.Island.716000_CWEC.epw,3872,25,0.0061,84.60,0.2024,1.8792,0.1183,0.65,335.99,131.34,204.64,12.21,204.64,20.6,0.03,0,37.49,0,0,41.6,14.49,4.91,198.64
6024,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Shearwater.716010_CWEC.epw,4247,105,0.0056,79.80,0.2024,1.8792,0.1183,0.65,360.4,138.3,222.1,12.21,222.1,22.83,0.72,0,41.8,0.05,0,41.29,14.49,4.91,216.06
6025,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sydney.717070_CWEC.epw,4695,112,0.0054,80.50,0.2024,1.8792,0.1183,0.65,389.12,141.1,248.02,12.2,248.02,25.19,0.12,0,42.4,0.01,0,41.78,14.49,4.91,240.97
6026,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Truro.713980_CWEC.epw,4619,119,0.0055,80.70,0.2024,1.8792,0.1183,0.65,396.91,142.85,254.07,12.21,254.07,24.35,0.1,0,45.17,0.01,0,41.6,14.49,4.91,245.39
6027,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Inuvik.719570_CWEC.epw,9976,42,0.0023,66.80,0.2024,1.8792,0.1183,0.65,731.17,195.9,535.26,12.21,535.26,52.27,0,0,70.41,0,0,41.6,14.49,4.91,517.95
6028,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Yellowknife.719360_CWEC.epw,8290,60,0.0030,66.10,0.2024,1.8792,0.1183,0.65,594.85,176.78,418.07,12.21,418.07,44.2,0.02,0,59.33,0,0,41.6,14.49,4.91,407.93
6029,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NU_Resolute.719240_CWEC.epw,12571,0,0.0014,75.90,0.2024,1.8792,0.1183,0.65,843.02,213.67,629.36,12.2,629.36,69.94,0,0,70.73,0,0,41.38,14.49,4.91,617.49
6030,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Kingston.716200_CWEC.epw,4336,237,0.0058,74.60,0.2024,1.8792,0.1183,0.65,373.38,143.59,229.79,12.21,229.79,23.27,1.58,0,45.42,0.1,0,41.6,14.49,4.91,223.19
6031,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_London.716230_CWEC.epw,4201,301,0.0061,76.40,0.2024,1.8792,0.1183,0.65,380.43,142,238.43,12.21,238.43,24.15,1.03,0,43.85,0.07,0,41.29,14.49,4.91,231.59
6032,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Mount.Forest.716310_CWEC.epw,4686,228,0.0057,78.40,0.2024,1.8792,0.1183,0.65,403.08,145.78,257.3,12.2,257.3,26.19,1.49,0,45.33,0.09,0,41.08,14.49,4.91,250.04
6033,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Muskoka.716300_CWEC.epw,4888,211,0.0054,76.90,0.2024,1.8792,0.1183,0.65,413.44,148.86,264.57,12.2,264.57,25.89,0.71,0,48.83,0.05,0,41.78,14.49,4.91,256.07
6034,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_North.Bay.717310_CWEC.epw,5392,155,0.0050,73.10,0.2024,1.8792,0.1183,0.65,450.53,152.4,298.13,12.2,298.13,29.15,0.03,0,49.83,0,0,41.78,14.49,4.91,288.53
6035,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Ottawa.716280_CWEC.epw,4747,271,0.0051,68.00,0.2024,1.8792,0.1183,0.65,396.32,147.02,249.3,12.2,249.3,24.98,1.77,0,47.48,0.11,0,41.08,14.49,4.91,241.87
6036,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,5080,164,0.0051,75.10,0.2024,1.8792,0.1183,0.65,415.59,147.88,267.71,12.2,267.71,25.84,0.74,0,47.87,0.05,0,41.78,14.49,4.91,258.74
6037,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Simcoe.715270_CWEC.epw,4160,284,0.0058,75.10,0.2024,1.8792,0.1183,0.65,368.56,140.34,228.22,12.21,228.22,23.37,1.02,0,42.97,0.07,0,41.29,14.49,4.91,221.92
6038,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sable.Island.716000_CWEC.epw,3872,25,0.0061,84.60,0.1835,1.8792,0.1183,0.65,333.62,130.96,202.66,12.21,202.66,20.41,0.03,0,37.3,0,0,41.6,14.49,4.91,196.72
6039,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Shearwater.716010_CWEC.epw,4247,105,0.0056,79.80,0.1835,1.8792,0.1183,0.65,357.62,137.85,219.77,12.21,219.77,22.62,0.72,0,41.56,0.05,0,41.29,14.49,4.91,213.82
6040,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sydney.717070_CWEC.epw,4695,112,0.0054,80.50,0.1835,1.8792,0.1183,0.65,386.24,140.6,245.63,12.2,245.63,24.93,0.12,0,42.16,0.01,0,41.78,14.49,4.91,238.63
6041,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Truro.713980_CWEC.epw,4619,119,0.0055,80.70,0.1835,1.8792,0.1183,0.65,393.89,142.26,251.62,12.21,251.62,24.04,0.1,0,44.89,0.01,0,41.6,14.49,4.91,242.96
6042,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Inuvik.719570_CWEC.epw,9976,42,0.0023,66.80,0.1835,1.8792,0.1183,0.65,726.54,195.09,531.46,12.21,531.46,51.76,0,0,70.11,0,0,41.6,14.49,4.91,514.12
6043,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Yellowknife.719360_CWEC.epw,8290,60,0.0030,66.10,0.1835,1.8792,0.1183,0.65,589.94,176,413.95,12.21,413.95,43.84,0.02,0,58.92,0,0,41.6,14.49,4.91,403.98
6044,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NU_Resolute.719240_CWEC.epw,12571,0,0.0014,75.90,0.1835,1.8792,0.1183,0.65,838,212.72,625.28,12.2,625.28,69.29,0,0,70.44,0,0,41.38,14.49,4.91,613.28
6045,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Kingston.716200_CWEC.epw,4336,237,0.0058,74.60,0.1835,1.8792,0.1183,0.65,370.71,143.09,227.62,12.21,227.62,23.05,1.57,0,45.15,0.1,0,41.6,14.49,4.91,221.07
6046,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_London.716230_CWEC.epw,4201,301,0.0061,76.40,0.1835,1.8792,0.1183,0.65,377.46,141.49,235.97,12.21,235.97,23.9,1.03,0,43.59,0.07,0,41.29,14.49,4.91,229.2
6047,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Mount.Forest.716310_CWEC.epw,4686,228,0.0057,78.40,0.1835,1.8792,0.1183,0.65,400.07,145.21,254.85,12.2,254.85,25.9,1.48,0,45.06,0.09,0,41.08,14.49,4.91,247.62
6048,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Muskoka.716300_CWEC.epw,4888,211,0.0054,76.90,0.1835,1.8792,0.1183,0.65,410.5,148.28,262.21,12.2,262.21,25.63,0.71,0,48.51,0.05,0,41.78,14.49,4.91,253.76
6049,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_North.Bay.717310_CWEC.epw,5392,155,0.0050,73.10,0.1835,1.8792,0.1183,0.65,447.09,151.79,295.3,12.2,295.3,28.87,0.03,0,49.51,0,0,41.78,14.49,4.91,285.78
6050,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Ottawa.716280_CWEC.epw,4747,271,0.0051,68.00,0.1835,1.8792,0.1183,0.65,393.08,146.46,246.62,12.2,246.62,24.72,1.76,0,47.19,0.11,0,41.08,14.49,4.91,239.28
6051,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,5080,164,0.0051,75.10,0.1835,1.8792,0.1183,0.65,412.13,147.32,264.81,12.2,264.81,25.59,0.74,0,47.57,0.05,0,41.78,14.49,4.91,255.97
6052,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Simcoe.715270_CWEC.epw,4160,284,0.0058,75.10,0.1835,1.8792,0.1183,0.65,365.82,139.86,225.97,12.21,225.97,23.14,1.02,0,42.73,0.06,0,41.29,14.49,4.91,219.73
6053,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sable.Island.716000_CWEC.epw,3872,25,0.0061,84.60,0.1572,1.8792,0.1183,0.65,330.11,130.38,199.74,12.21,199.74,20.09,0.03,0,37.04,0,0,41.6,14.49,4.91,193.86
6054,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Shearwater.716010_CWEC.epw,4247,105,0.0056,79.80,0.1572,1.8792,0.1183,0.65,353.95,137.2,216.75,12.21,216.75,22.3,0.71,0,41.23,0.05,0,41.29,14.49,4.91,210.88
6055,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sydney.717070_CWEC.epw,4695,112,0.0054,80.50,0.1572,1.8792,0.1183,0.65,382.21,139.92,242.29,12.2,242.29,24.58,0.12,0,41.82,0.01,0,41.78,14.49,4.91,235.38
6056,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Truro.713980_CWEC.epw,4619,119,0.0055,80.70,0.1572,1.8792,0.1183,0.65,389.55,141.59,247.97,12.21,247.97,23.75,0.1,0,44.52,0.01,0,41.6,14.49,4.91,239.48
6057,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Inuvik.719570_CWEC.epw,9976,42,0.0023,66.80,0.1572,1.8792,0.1183,0.65,720.12,194.01,526.11,12.21,526.11,51.1,0,0,69.69,0,0,41.6,14.49,4.91,508.82
6058,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Yellowknife.719360_CWEC.epw,8290,60,0.0030,66.10,0.1572,1.8792,0.1183,0.65,583.39,174.81,408.59,12.21,408.59,43.23,0.02,0,58.34,0,0,41.6,14.49,4.91,398.7
6059,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NU_Resolute.719240_CWEC.epw,12571,0,0.0014,75.90,0.1572,1.8792,0.1183,0.65,830.17,211.41,618.76,12.2,618.76,68.4,0,0,70.01,0,0,41.38,14.49,4.91,606.73
6060,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Kingston.716200_CWEC.epw,4336,237,0.0058,74.60,0.1572,1.8792,0.1183,0.65,366.95,142.36,224.59,12.21,224.59,22.7,1.57,0,44.77,0.1,0,41.6,14.49,4.91,218.1
6061,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_London.716230_CWEC.epw,4201,301,0.0061,76.40,0.1572,1.8792,0.1183,0.65,373.53,140.79,232.74,12.21,232.74,23.57,1.02,0,43.23,0.07,0,41.29,14.49,4.91,226.05
6062,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Mount.Forest.716310_CWEC.epw,4686,228,0.0057,78.40,0.1572,1.8792,0.1183,0.65,396.15,144.48,251.66,12.2,251.66,25.56,1.47,0,44.68,0.09,0,41.08,14.49,4.91,244.51
6063,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Muskoka.716300_CWEC.epw,4888,211,0.0054,76.90,0.1572,1.8792,0.1183,0.65,405.94,147.49,258.45,12.2,258.45,25.29,0.7,0,48.07,0.04,0,41.78,14.49,4.91,250.14
6064,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_North.Bay.717310_CWEC.epw,5392,155,0.0050,73.10,0.1572,1.8792,0.1183,0.65,442.14,150.92,291.22,12.2,291.22,28.44,0.03,0,49.05,0,0,41.78,14.49,4.91,281.81
6065,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Ottawa.716280_CWEC.epw,4747,271,0.0051,68.00,0.1572,1.8792,0.1183,0.65,389.09,145.69,243.4,12.2,243.4,24.37,1.74,0,46.79,0.11,0,41.08,14.49,4.91,236.13
6066,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,5080,164,0.0051,75.10,0.1572,1.8792,0.1183,0.65,407.67,146.52,261.15,12.2,261.15,25.22,0.73,0,47.14,0.05,0,41.78,14.49,4.91,252.42
6067,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Simcoe.715270_CWEC.epw,4160,284,0.0058,75.10,0.1572,1.8792,0.1183,0.65,361.99,139.18,222.81,12.21,222.81,22.82,1.01,0,42.38,0.06,0,41.29,14.49,4.91,216.66
6068,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sable.Island.716000_CWEC.epw,3872,25,0.0061,84.60,0.1236,1.8792,0.1183,0.65,325.74,129.65,196.09,12.21,196.09,19.7,0.03,0,36.7,0,0,41.6,14.49,4.91,190.3
6069,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Shearwater.716010_CWEC.epw,4247,105,0.0056,79.80,0.1236,1.8792,0.1183,0.65,349.25,136.38,212.87,12.21,212.87,21.92,0.7,0,40.81,0.04,0,41.29,14.49,4.91,207.12
6070,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sydney.717070_CWEC.epw,4695,112,0.0054,80.50,0.1236,1.8792,0.1183,0.65,376.95,139.02,237.93,12.2,237.93,24.12,0.12,0,41.39,0.01,0,41.78,14.49,4.91,231.12
6071,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Truro.713980_CWEC.epw,4619,119,0.0055,80.70,0.1236,1.8792,0.1183,0.65,384.19,140.7,243.49,12.21,243.49,23.34,0.1,0,44.04,0.01,0,41.6,14.49,4.91,235.17
6072,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Inuvik.719570_CWEC.epw,9976,42,0.0023,66.80,0.1236,1.8792,0.1183,0.65,712.13,192.62,519.51,12.21,519.51,50.27,0,0,69.13,0,0,41.6,14.49,4.91,502.24
6073,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Yellowknife.719360_CWEC.epw,8290,60,0.0030,66.10,0.1236,1.8792,0.1183,0.65,574.78,173.37,401.42,12.21,401.42,42.53,0.02,0,57.6,0,0,41.6,14.49,4.91,391.76
6074,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NU_Resolute.719240_CWEC.epw,12571,0,0.0014,75.90,0.1236,1.8792,0.1183,0.65,821.11,209.65,611.46,12.2,611.46,67.21,0,0,69.46,0,0,41.38,14.49,4.91,599.17
6075,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Kingston.716200_CWEC.epw,4336,237,0.0058,74.60,0.1236,1.8792,0.1183,0.65,361.79,141.46,220.32,12.21,220.32,22.3,1.56,0,44.29,0.1,0,41.6,14.49,4.91,213.98
6076,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_London.716230_CWEC.epw,4201,301,0.0061,76.40,0.1236,1.8792,0.1183,0.65,368.4,139.89,228.5,12.21,228.5,23.14,1.01,0,42.78,0.06,0,41.29,14.49,4.91,221.93
6077,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Mount.Forest.716310_CWEC.epw,4686,228,0.0057,78.40,0.1236,1.8792,0.1183,0.65,390.89,143.51,247.38,12.2,247.38,25.08,1.45,0,44.2,0.09,0,41.08,14.49,4.91,240.3
6078,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Muskoka.716300_CWEC.epw,4888,211,0.0054,76.90,0.1236,1.8792,0.1183,0.65,400.06,146.45,253.61,12.2,253.61,24.81,0.7,0,47.51,0.04,0,41.78,14.49,4.91,245.46
6079,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_North.Bay.717310_CWEC.epw,5392,155,0.0050,73.10,0.1236,1.8792,0.1183,0.65,435.85,149.8,286.05,12.2,286.05,27.91,0.03,0,48.48,0,0,41.78,14.49,4.91,276.77
6080,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Ottawa.716280_CWEC.epw,4747,271,0.0051,68.00,0.1236,1.8792,0.1183,0.65,383.56,144.7,238.85,12.2,238.85,23.93,1.72,0,46.27,0.11,0,41.08,14.49,4.91,231.73
6081,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,5080,164,0.0051,75.10,0.1236,1.8792,0.1183,0.65,401.96,145.51,256.45,12.2,256.45,24.76,0.72,0,46.6,0.05,0,41.78,14.49,4.91,247.87
6082,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Simcoe.715270_CWEC.epw,4160,284,0.0058,75.10,0.1236,1.8792,0.1183,0.65,357.08,138.29,218.79,12.21,218.79,22.38,1,0,41.94,0.06,0,41.29,14.49,4.91,212.73
6083,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sable.Island.716000_CWEC.epw,3872,25,0.0061,84.60,0.0932,1.8792,0.1183,0.65,321.82,129,192.83,12.21,192.83,19.36,0.03,0,36.39,0,0,41.6,14.49,4.91,187.12
6084,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Shearwater.716010_CWEC.epw,4247,105,0.0056,79.80,0.0932,1.8792,0.1183,0.65,345.09,135.63,209.46,12.21,209.46,21.57,0.69,0,40.42,0.04,0,41.29,14.49,4.91,203.79
6085,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sydney.717070_CWEC.epw,4695,112,0.0054,80.50,0.0932,1.8792,0.1183,0.65,372.35,138.21,234.14,12.2,234.14,23.7,0.12,0,40.99,0.01,0,41.78,14.49,4.91,227.4
6086,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Truro.713980_CWEC.epw,4619,119,0.0055,80.70,0.0932,1.8792,0.1183,0.65,379.5,139.85,239.64,12.21,239.64,22.93,0.1,0,43.6,0.01,0,41.6,14.49,4.91,231.42
6087,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Inuvik.719570_CWEC.epw,9976,42,0.0023,66.80,0.0932,1.8792,0.1183,0.65,704.98,191.3,513.68,12.21,513.68,49.46,0,0,68.62,0,0,41.6,14.49,4.91,496.37
6088,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Yellowknife.719360_CWEC.epw,8290,60,0.0030,66.10,0.0932,1.8792,0.1183,0.65,567.43,172,395.43,12.21,395.43,41.83,0.02,0,56.93,0,0,41.6,14.49,4.91,385.86
6089,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NU_Resolute.719240_CWEC.epw,12571,0,0.0014,75.90,0.0932,1.8792,0.1183,0.65,812.76,208.06,604.7,12.2,604.7,66.12,0,0,68.95,0,0,41.38,14.49,4.91,592.21
6090,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Kingston.716200_CWEC.epw,4336,237,0.0058,74.60,0.0932,1.8792,0.1183,0.65,357.46,140.63,216.83,12.21,216.83,21.91,1.55,0,43.85,0.1,0,41.6,14.49,4.91,210.55
6091,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_London.716230_CWEC.epw,4201,301,0.0061,76.40,0.0932,1.8792,0.1183,0.65,363.7,139.07,224.62,12.21,224.62,22.74,1,0,42.36,0.06,0,41.29,14.49,4.91,218.16
6092,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Mount.Forest.716310_CWEC.epw,4686,228,0.0057,78.40,0.0932,1.8792,0.1183,0.65,385.95,142.63,243.32,12.2,243.32,24.65,1.44,0,43.77,0.09,0,41.08,14.49,4.91,236.34
6093,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Muskoka.716300_CWEC.epw,4888,211,0.0054,76.90,0.0932,1.8792,0.1183,0.65,394.79,145.5,249.29,12.2,249.29,24.38,0.69,0,47,0.04,0,41.78,14.49,4.91,241.26
6094,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_North.Bay.717310_CWEC.epw,5392,155,0.0050,73.10,0.0932,1.8792,0.1183,0.65,430.01,148.83,281.17,12.2,281.17,27.46,0.03,0,47.95,0,0,41.78,14.49,4.91,272.08
6095,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Ottawa.716280_CWEC.epw,4747,271,0.0051,68.00,0.0932,1.8792,0.1183,0.65,378.6,143.8,234.8,12.2,234.8,23.51,1.7,0,45.8,0.11,0,41.08,14.49,4.91,227.79
6096,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,5080,164,0.0051,75.10,0.0932,1.8792,0.1183,0.65,396.51,144.58,251.92,12.2,251.92,24.35,0.71,0,46.1,0.05,0,41.78,14.49,4.91,243.52
6097,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Simcoe.715270_CWEC.epw,4160,284,0.0058,75.10,0.0932,1.8792,0.1183,0.65,352.62,137.5,215.12,12.21,215.12,22,0.99,0,41.53,0.06,0,41.29,14.49,4.91,209.16
6098,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sable.Island.716000_CWEC.epw,3872,25,0.0061,84.60,0.3563,1.8792,0.1076,0.65,355.13,134.54,220.6,12.21,220.6,22.32,0.03,0,38.96,0,0,41.6,14.49,4.91,214.24
6099,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Shearwater.716010_CWEC.epw,4247,105,0.0056,79.80,0.3563,1.8792,0.1076,0.65,380.91,141.89,239.02,12.21,239.02,24.54,0.75,0,43.64,0.05,0,41.29,14.49,4.91,232.49
6100,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sydney.717070_CWEC.epw,4695,112,0.0054,80.50,0.3563,1.8792,0.1076,0.65,411.82,145,266.82,12.2,266.82,27.21,0.12,0,44.28,0.01,0,41.78,14.49,4.91,259.34
6101,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Truro.713980_CWEC.epw,4619,119,0.0055,80.70,0.3563,1.8792,0.1076,0.65,421.05,146.93,274.11,12.21,274.11,26.27,0.1,0,47.34,0.01,0,41.6,14.49,4.91,264.74
6102,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Inuvik.719570_CWEC.epw,9976,42,0.0023,66.80,0.3563,1.8792,0.1076,0.65,763.06,201.92,561.14,12.21,561.14,56.01,0,0,72.7,0,0,41.6,14.49,4.91,544.2
6103,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NT_Yellowknife.719360_CWEC.epw,8290,60,0.0030,66.10,0.3563,1.8792,0.1076,0.65,631.33,183.3,448.04,12.21,448.04,47.51,0.02,0,62.55,0,0,41.6,14.49,4.91,437.3
6104,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NU_Resolute.719240_CWEC.epw,12571,0,0.0014,75.90,0.3563,1.8792,0.1076,0.65,882.12,221.26,660.86,12.2,660.86,75.2,0,0,73.07,0,0,41.38,14.49,4.91,650.15
6105,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Kingston.716200_CWEC.epw,4336,237,0.0058,74.60,0.3563,1.8792,0.1076,0.65,395.28,147.54,247.74,12.21,247.74,25.06,1.61,0,47.55,0.1,0,41.6,14.49,4.91,240.6
6106,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_London.716230_CWEC.epw,4201,301,0.0061,76.40,0.3563,1.8792,0.1076,0.65,402.48,145.95,256.54,12.21,256.54,26.08,1.07,0,45.83,0.07,0,41.29,14.49,4.91,249.26
6107,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Mount.Forest.716310_CWEC.epw,4686,228,0.0057,78.40,0.3563,1.8792,0.1076,0.65,426.11,149.99,276.12,12.2,276.12,28.25,1.55,0,47.42,0.1,0,41.08,14.49,4.91,268.47
6108,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Muskoka.716300_CWEC.epw,4888,211,0.0054,76.90,0.3563,1.8792,0.1076,0.65,438.43,153.38,285.05,12.2,285.05,27.94,0.74,0,51.27,0.05,0,41.78,14.49,4.91,275.93
6109,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_North.Bay.717310_CWEC.epw,5392,155,0.0050,73.10,0.3563,1.8792,0.1076,0.65,477.81,157.21,320.61,12.2,320.61,31.44,0.03,0,52.34,0,0,41.78,14.49,4.91,310.37
6110,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Ottawa.716280_CWEC.epw,4747,271,0.0051,68.00,0.3563,1.8792,0.1076,0.65,419.92,151.41,268.51,12.2,268.51,26.96,1.85,0,49.8,0.12,0,41.08,14.49,4.91,260.56
6111,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,5080,164,0.0051,75.10,0.3563,1.8792,0.1076,0.65,440.8,152.33,288.46,12.2,288.46,27.88,0.78,0,50.25,0.05,0,41.78,14.49,4.91,278.84
6112,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_ON_Simcoe.715270_CWEC.epw,4160,284,0.0058,75.10,0.3563,1.8792,0.1076,0.65,389.82,144.11,245.71,12.21,245.71,25.18,1.05,0,44.9,0.07,0,41.29,14.49,4.91,238.95
6113,2 Furnace AC Heat .asp,1140,2678,394,1175,CAN_NS_Sable.Island.716000_CWEC.epw,3872,25,0.0061,84.60,0.2687,1.8792,0.1076,0.65,343.8,132.68,211.13,12.21,211.13,21.34,0.03,0,38.09,0,0,41.6,14.49,4.91,205.02
